Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,Start Date
PPP (D),4/17 - 4/18,648 RV,3.9,54,40,Biden +14,4/17
The Hill/HarrisX,4/19 - 4/20,958 RV,3.2,42,40,Biden +2,4/19
Economist/YouGov,4/19 - 4/21,1144 RV,3.4,48,42,Biden +6,4/19
Politico/Morning Consult,4/19 - 4/21,1992 RV,2,42,34,Biden +8,4/19
Quinnipiac,4/2 - 4/6,2077 RV,2.2,49,41,Biden +8,4/2
USA Today/Suffolk,4/21 - 4/25,1000 RV,3,50,40,Biden +10,4/21
The Hill/HarrisX,4/25 - 4/26,1000 RV,3.1,43,37,Biden +6,4/25
CNN,4/25 - 4/29,470 RV,5.5,51,45,Biden +6,4/25
Emerson,4/26 - 4/28,1200 RV,2.8,48,42,Biden +6,4/26
Economist/YouGov,4/26 - 4/28,1222 RV,3.2,47,41,Biden +6,4/26
IBD/TIPP,4/26 - 4/29,948 RV,3.3,43,43,Tie,4/26
CBS News/YouGov,4/28 - 5/1,1671 LV,2.5,49,43,Biden +6,4/28
CNBC,4/3 - 4/6,604 RV,4,44,39,Biden +5,4/3
CNN,4/3 - 4/6,875 RV,3.9,53,42,Biden +11,4/3
Monmouth,4/3 - 4/7,743 RV,3.6,48,44,Biden +4,4/3
Monmouth,4/30 - 5/4,739 RV,3.6,50,41,Biden +9,4/30
FOX News,4/4 - 4/7,1107 RV,3,42,42,Tie,4/4
Economist/YouGov,4/5 - 4/7,1147 RV,3.3,48,42,Biden +6,4/5
CNBC,5/1 - 5/3,1489 LV,2.5,47,44,Biden +3,5/1
Economist/YouGov,5/10 - 5/12,1175 RV,3.4,47,43,Biden +4,5/10
Emerson,5/10 - 5/13,1006 RV,3,54,46,Biden +8,5/10
FOX News,5/11 - 5/14,1001 RV,3,49,38,Biden +11,5/11
PPP (D),5/12 - 5/14,692 RV,3.7,54,40,Biden +14,5/12
The Hill/HarrisX,5/13 - 5/14,950 RV,3.2,42,41,Biden +1,5/13
Harvard-Harris,5/13 - 5/14,1854 RV,2,53,47,Biden +6,5/13
Quinnipiac,5/14 - 5/18,1323 RV,2.7,50,39,Biden +11,5/14
CNBC,5/15 - 5/17,1424 LV,2.6,48,45,Biden +3,5/15
Economist/YouGov,5/17 - 5/19,1235 RV,3.2,47,42,Biden +5,5/17
FOX News,5/17 - 5/20,1207 RV,3,48,40,Biden +8,5/17
Rasmussen Reports,5/18 - 5/19,1000 LV,3,48,43,Biden +5,5/18
Economist/YouGov,5/23 - 5/26,1157 RV,3.4,45,42,Biden +3,5/23
ABC News/Wash Post,5/25 - 5/28,835 RV,4,53,43,Biden +10,5/25
Monmouth,5/28 - 6/1,742 RV,3.6,52,41,Biden +11,5/28
NBC News/Wall St. Jrnl,5/28 - 6/2,1000 RV,3.1,49,42,Biden +7,5/28
CNBC,5/29 - 5/31,1457 LV,2.6,48,41,Biden +7,5/29
CBS News/YouGov,5/29 - 6/1,1486 LV,2.6,47,43,Biden +4,5/29
Economist/YouGov,5/3 - 5/5,1209 RV,3.3,46,42,Biden +4,5/3
Economist/YouGov,5/31 - 6/2,1244 RV,3.2,47,40,Biden +7,5/31
IBD/TIPP,5/31 - 6/3,964 RV,2.9,45,42,Biden +3,5/31
CNN,5/7 - 5/10,1001 RV,3.7,51,46,Biden +5,5/7
The Hill/HarrisX,6/1 - 6/4,2827 RV,1.8,47,37,Biden +10,6/1
CNBC/Change Research (D),6/10 - 6/12,1250 LV,2.8,51,41,Biden +10,6/10
Quinnipiac,6/11 - 6/15,1332 RV,2.7,49,41,Biden +8,6/11
FOX News,6/13 - 6/16,1343 RV,2.5,50,38,Biden +12,6/13
Economist/YouGov,6/14 - 6/16,1160 RV,3.5,50,41,Biden +9,6/14
Harvard-Harris,6/17 - 6/18,LV,--,56,44,Biden +12,6/17
NY Times/Siena,6/17 - 6/22,1337 RV,3,50,36,Biden +14,6/17
CNBC,6/19 - 6/22,800 RV,3.5,47,38,Biden +9,6/19
NPR/PBS/Marist,6/2 - 6/3,958 RV,4,50,43,Biden +7,6/2
Emerson,6/2 - 6/3,1431 RV,2.5,53,47,Biden +6,6/2
CNN,6/2 - 6/5,1125 RV,3.6,55,41,Biden +14,6/2
Economist/YouGov,6/21 - 6/23,1230 RV,3.3,49,41,Biden +8,6/21
Emerson,6/21 - 6/24,1096 RV,2.9,55,45,Biden +10,6/21
The Hill/HarrisX,6/22 - 6/23,951 RV,3.2,43,39,Biden +4,6/22
NPR/PBS/Marist,6/22 - 6/24,1515 RV,3.5,52,44,Biden +8,6/22
Rasmussen Reports,6/23 - 7/2,4500 LV,1.5,48,44,Biden +4,6/23
USA Today/Suffolk,6/25 - 6/29,1000 RV,3.1,53,41,Biden +12,6/25
CNBC/Change Research (D),6/26 - 6/28,1663 LV,1.6,49,41,Biden +8,6/26
Monmouth,6/26 - 6/30,733 RV,3.6,53,41,Biden +12,6/26
IBD/TIPP,6/27 - 6/30,1005 RV,3.1,48,40,Biden +8,6/27
Economist/YouGov,6/28 - 6/30,1198 RV,3.4,49,40,Biden +9,6/28
ABC News/Wash Post,6/28 - 7/1,875 RV,4,53,43,Biden +10,6/28
Quinnipiac,6/6 - 6/10,1214 RV,3.5,53,40,Biden +13,6/6
Economist/YouGov,6/7 - 6/9,1241 RV,3.4,49,41,Biden +8,6/7
PPP (D),6/8 - 6/10,679 RV,3.8,53,39,Biden +14,6/8
PPP (D),6/9 - 6/11,811 RV,3.4,54,41,Biden +13,6/9
FOX News,6/9 - 6/12,1001 RV,3,49,39,Biden +10,6/9
CNBC/Change Research (D)*,7/10 - 7/12,1258 LV,2.8,51,41,Biden +10,7/10
Economist/YouGov,7/12 - 7/14,1252 RV,3.3,49,40,Biden +9,7/12
FOX News,7/12 - 7/15,1104 RV,3,49,41,Biden +8,7/12
ABC News/Wash Post,7/12 - 7/15,673 LV,--,54,44,Biden +10,7/12
PPP (D),7/14 - 7/17,836 RV,3.4,54,39,Biden +15,7/14
Rasmussen Reports,7/15 - 7/21,2500 LV,2,47,45,Biden +2,7/15
The Hill/HarrisX,7/17 - 7/20,2829 RV,1.8,45,38,Biden +7,7/17
Economist/YouGov,7/19 - 7/21,1222 RV,3.2,48,41,Biden +7,7/19
Harvard-Harris,7/21 - 7/23,1932 RV,--,55,45,Biden +10,7/21
FOX News,7/21 - 7/23,1004 RV,3,49,39,Biden +10,7/21
CBS News/YouGov,7/21 - 7/24,1401 LV,--,51,41,Biden +10,7/21
Rasmussen Reports,7/22 - 7/28,2500 LV,2,48,42,Biden +6,7/22
CNBC/Change Research (D)*,7/24 - 7/26,1039 LV,3,51,42,Biden +9,7/24
IBD/TIPP,7/25 - 7/28,1160 RV,3.1,48,41,Biden +7,7/25
IBD/TIPP,7/25 - 8/1,856 RV,3.5,54,41,Biden +13,7/25
Economist/YouGov,7/26 - 7/28,1260 RV,3.4,49,40,Biden +9,7/26
Emerson,7/27 - 7/29,1233 RV,2.7,51,49,Biden +2,7/27
Emerson,7/29 - 7/30,964 LV,3.1,50,46,Biden +4,7/29
Rasmussen Reports,7/29 - 8/4,2500 LV,2,48,45,Biden +3,7/29
The Hill/HarrisX,7/3 - 7/4,933 RV,3.2,43,39,Biden +4,7/3
Economist/YouGov,7/5 - 7/7,1165 RV,3.6,49,40,Biden +9,7/5
Rasmussen Reports,7/5 - 7/7,1500 LV,2.5,50,40,Biden +10,7/5
Emerson,7/6 - 7/8,1100 RV,2.9,53,47,Biden +6,7/6
NBC News/Wall St. Jrnl,7/7 - 7/9,800 RV,3.5,51,42,Biden +9,7/7
Rasmussen Reports,7/8 - 7/14,1500 LV,2,47,44,Biden +3,7/8
NBC News/Wall St. Jrnl,7/9 - 7/12,900 RV,3.3,51,40,Biden +11,7/9
Quinnipiac,7/9 - 7/13,1273 RV,2.8,52,37,Biden +15,7/9
SurveyUSA,8/1 - 8/5,5459 RV,1.6,50,42,Biden +8,8/1
GU Politics/Battleground,8/1 - 8/6,1000 LV,3.1,53,40,Biden +13,8/1
FOX News,8/11 - 8/13,1013 RV,3,50,38,Biden +12,8/11
The Hill/HarrisX,8/11 - 8/14,2823 RV,1.8,45,39,Biden +6,8/11
CBS News/YouGov,8/12 - 8/14,2152 LV,2.4,52,42,Biden +10,8/12
CNN,8/12 - 8/15,987 RV,4,50,46,Biden +4,8/12
ABC News/Wash Post,8/12 - 8/15,707 LV,--,54,44,Biden +10,8/12
Rasmussen Reports,8/12 - 8/18,2500 LV,2,48,44,Biden +4,8/12
The Hill/HarrisX,8/15 - 8/18,2840 RV,1.8,46,38,Biden +8,8/15
Economist/YouGov,8/16 - 8/18,1246 RV,3.4,50,40,Biden +10,8/16
PPP (D),8/18 - 8/21,887 RV,3.3,51,39,Biden +12,8/18
Rasmussen Reports,8/19 - 8/25,2500 LV,2,46,45,Biden +1,8/19
Economist/YouGov,8/2 - 8/4,1229 RV,3.3,49,40,Biden +9,8/2
The Hill/HarrisX,8/2 - 8/5,2850 RV,1.8,43,40,Biden +3,8/2
CBS News/YouGov,8/20 - 8/22,934 LV,3.7,52,42,Biden +10,8/20
CNBC/Change Research (D)*,8/21 - 8/23,2362 LV,2,51,43,Biden +8,8/21
Quinnipiac,8/21 - 8/26,1422 RV,4.6,54,38,Biden +16,8/21
The Hill/HarrisX,8/22 - 8/25,2861 RV,1.8,47,38,Biden +9,8/22
IBD/TIPP,8/22 - 8/30,848 RV,3.5,54,42,Biden +12,8/22
Economist/YouGov,8/23 - 8/25,1254 RV,3.8,50,41,Biden +9,8/23
Emerson,8/24 - 8/26,1458 RV,2.5,54,46,Biden +8,8/24
The Hill/HarrisX,8/25 - 8/28,2862 RV,1.8,47,38,Biden +9,8/25
Grinnell/Selzer,8/26 - 8/30,827 LV,3.4,49,41,Biden +8,8/26
Rasmussen Reports,8/26 - 9/1,2500 LV,2,49,45,Biden +4,8/26
USA Today/Suffolk,8/28 - 8/31,1000 RV,3.1,50,43,Biden +7,8/28
Quinnipiac,8/28 - 8/31,1081 LV,3,52,42,Biden +10,8/28
CNN,8/28 - 9/1,997 RV,4,51,43,Biden +8,8/28
Reuters/Ipsos,8/28 - 9/1,1089 RV,3.4,47,40,Biden +7,8/28
The Hill/HarrisX,8/29 - 8/31,2834 RV,1.8,46,40,Biden +6,8/29
IBD/TIPP,8/29 - 9/1,1033 RV,--,49,41,Biden +8,8/29
NPR/PBS/Marist,8/3 - 8/11,1108 RV,3.6,53,42,Biden +11,8/3
Emerson,8/30 - 8/31,1567 LV,2.4,49,47,Biden +2,8/30
Economist/YouGov,8/30 - 9/1,1207 RV,3.6,51,40,Biden +11,8/30
Harvard-Harris,8/31 - 9/2,LV,--,53,47,Biden +6,8/31
USC Dornsife,8/31 - 9/6,2588 LV,--,52,42,Biden +10,8/31
Rasmussen Reports,8/5 - 8/11,2500 LV,2,49,43,Biden +6,8/5
Monmouth*,8/6 - 8/10,785 RV,3.5,51,41,Biden +10,8/6
CNBC/Change Research (D)*,8/7 - 8/9,2143 LV,2.1,50,44,Biden +6,8/7
The Hill/HarrisX,8/8 - 8/11,2828 RV,1.8,44,40,Biden +4,8/8
Economist/YouGov,8/9 - 8/11,1208 RV,3.6,49,39,Biden +10,8/9
NBC News/Wall St. Jrnl,8/9 - 8/12,900 RV,3.3,50,41,Biden +9,8/9
FOX News,8/9 - 8/12,1000 RV,3,49,42,Biden +7,8/9
JTN/RMG Research*,9/10 - 9/12,941 LV,2.8,48,43,Biden +5,9/10
The Hill/HarrisX,9/10 - 9/14,3758 RV,1.6,45,39,Biden +6,9/10
Reuters/Ipsos,9/11 - 9/15,859 LV,3.8,50,41,Biden +9,9/11
NPR/PBS/Marist,9/11 - 9/16,723 LV,4.3,52,43,Biden +9,9/11
Economist/YouGov,9/13 - 9/15,1062 LV,3.8,51,42,Biden +9,9/13
NBC News/Wall St. Jrnl,9/13 - 9/16,1000 RV,3.1,51,43,Biden +8,9/13
SurveyUSA,9/13 - 9/16,4520 RV,1.6,49,41,Biden +8,9/13
FOX News,9/15 - 9/17,1008 RV,3,52,38,Biden +14,9/15
IBD/TIPP,9/16 - 9/19,962 LV,3.3,50,44,Biden +6,9/16
Rasmussen Reports,9/16 - 9/22,3000 LV,2.5,48,47,Biden +1,9/16
JTN/RMG Research*,9/17 - 9/19,773 LV,2.8,50,44,Biden +6,9/17
Quinnipiac,9/17 - 9/21,1302 LV,2.7,52,42,Biden +10,9/17
CNBC/Change Research (D)*,9/18 - 9/20,1430 LV,2.6,51,42,Biden +9,9/18
Reuters/Ipsos,9/18 - 9/22,889 LV,3.7,50,42,Biden +8,9/18
The Hill/HarrisX,9/19 - 9/21,2803 RV,1.9,45,40,Biden +5,9/19
CBS News/YouGov,9/2 - 9/4,2433 LV,--,52,42,Biden +10,9/2
ABC News/Wash Post,9/2 - 9/5,877 RV,4,55,40,Biden +15,9/2
Rasmussen Reports,9/2 - 9/8,2500 LV,2,48,46,Biden +2,9/2
Economist/YouGov,9/20 - 9/22,1124 LV,3.6,49,42,Biden +7,9/20
Emerson,9/21 - 9/23,1019 RV,3,50,49,Biden +1,9/21
ABC News/Wash Post,9/21 - 9/24,739 LV,4,54,44,Biden +10,9/21
Emerson,9/22 - 9/23,1000 LV,3,48,44,Biden +4,9/22
NY Times/Siena,9/22 - 9/24,950 LV,3.5,49,41,Biden +8,9/22
Harvard-Harris,9/22 - 9/24,LV,--,47,45,Biden +2,9/22
The Hill/HarrisX,9/22 - 9/25,2768 RV,1.9,45,40,Biden +5,9/22
PPP (D),9/22 - 9/25,865 RV,3.3,53,40,Biden +13,9/22
Rasmussen Reports,9/23 - 9/24,1000 LV,3,43,47,Trump +4,9/23
Rasmussen Reports,9/23 - 9/29,3000 LV,2,51,43,Biden +8,9/23
JTN/RMG Research*,9/24 - 9/26,752 LV,3.6,51,45,Biden +6,9/24
Monmouth*,9/24 - 9/27,809 LV,3.5,50,45,Biden +5,9/24
Reuters/Ipsos,9/25 - 9/29,864 LV,3.8,51,42,Biden +9,9/25
IBD/TIPP,9/26 - 10/3,863 RV,3.5,51,44,Biden +7,9/26
Economist/YouGov,9/27 - 9/30,1350 LV,4,50,42,Biden +8,9/27
CNBC/Change Research (D),9/29 - 9/30,925 LV,3.2,54,41,Biden +13,9/29
Monmouth*,9/3 - 9/8,758 LV,3.6,51,44,Biden +7,9/3
Reuters/Ipsos,9/3 - 9/8,823 LV,3.9,52,40,Biden +12,9/3
The Hill/HarrisX,9/30 - 10/1,928 RV,3.2,47,40,Biden +7,9/30
NBC News/Wall St. Jrnl,9/30 - 10/1,800 RV,3.5,53,39,Biden +14,9/30
IBD/TIPP,9/30 - 10/1,1030 LV,3.5,49,46,Biden +3,9/30
Rasmussen Reports,9/30 - 10/6,2500 LV,2,52,40,Biden +12,9/30
CNBC/Change Research (D)*,9/4 - 9/6,1902 LV,2.3,49,43,Biden +6,9/4
The Hill/HarrisX,9/5 - 9/8,2832 RV,1.8,47,39,Biden +8,9/5
Economist/YouGov,9/6 - 9/8,1057 LV,3.8,52,43,Biden +9,9/6
FOX News,9/7 - 9/10,1191 LV,2.5,51,46,Biden +5,9/7
USC Dornsife,9/7 - 9/13,2648 LV,--,52,42,Biden +10,9/7
Rasmussen Reports,9/9 - 9/15,2500 LV,2,46,47,Trump +1,9/9
JTN/RMG Research*,10/1 - 10/3,763 LV,3.5,51,43,Biden +8,10/1
SurveyUSA,10/1 - 10/4,1114 LV,3.6,53,43,Biden +10,10/1
CNN,10/1 - 10/4,1001 LV,3.6,57,41,Biden +16,10/1
The Hill/HarrisX,10/10 - 10/13,2855 RV,1.8,47,40,Biden +7,10/10
Economist/YouGov,10/11 - 10/13,1333 LV,4.3,52,42,Biden +10,10/11
IBD/TIPP,10/11 - 10/15,951 LV,3.2,49,43,Biden +6,10/11
Emerson,10/12 - 10/14,820 RV,3.4,51,42,Biden +9,10/12
The Hill/HarrisX,10/13 - 10/15,1897 RV,2.3,46,42,Biden +4,10/13
Rasmussen Reports,10/14 - 10/20,2500 LV,2,49,46,Biden +3,10/14
SurveyUSA,10/15 - 10/16,3080 RV,2.1,52,41,Biden +11,10/15
JTN/RMG Research*,10/15 - 10/17,1265 LV,2.8,51,43,Biden +8,10/15
NY Times/Siena*,10/15 - 10/18,987 LV,3.4,50,41,Biden +9,10/15
Quinnipiac,10/16 - 10/19,1426 LV,2.6,51,41,Biden +10,10/16
SurveyUSA,10/16 - 10/19,1136 LV,3.6,53,43,Biden +10,10/16
Reuters/Ipsos,10/16 - 10/20,949 LV,3.6,51,42,Biden +9,10/16
CNBC/Change Research (D)*,10/17 - 10/18,2711 LV,1.9,52,42,Biden +10,10/17
CNN,10/17 - 10/20,892 RV,4,53,43,Biden +10,10/17
Economist/YouGov,10/18 - 10/20,1344 LV,3.2,52,43,Biden +9,10/18
Emerson,10/18 - 10/21,1000 RV,3,51,49,Biden +2,10/18
CNBC/Change Research (D)*,10/2 - 10/4,2167 LV,2.1,52,42,Biden +10,10/2
Reuters/Ipsos,10/2 - 10/6,882 LV,3.8,52,40,Biden +12,10/2
USC Dornsife,10/20 - 11/2,5423 LV,--,54,43,Biden +11,10/20
CNBC,10/21 - 10/24,800 RV,3.5,51,40,Biden +11,10/21
JTN/RMG Research*,10/23 - 10/24,1842 LV,2.8,51,44,Biden +7,10/23
CNN,10/23 - 10/26,886 LV,3.8,54,42,Biden +12,10/23
Reuters/Ipsos,10/23 - 10/27,825 LV,3.9,52,42,Biden +10,10/23
USA Today/Suffolk,10/23 - 10/27,1000 LV,3.1,52,44,Biden +8,10/23
IBD/TIPP,10/24 - 10/31,863 RV,3.5,53,43,Biden +10,10/24
Emerson,10/25 - 10/26,1121 LV,2.8,50,45,Biden +5,10/25
Economist/YouGov,10/25 - 10/27,1365 LV,3.2,54,43,Biden +11,10/25
The Hill/HarrisX,10/25 - 10/28,2359 LV,2,49,45,Biden +4,10/25
Harvard-Harris,10/27 - 10/28,LV,--,54,46,Biden +8,10/27
FOX News,10/27 - 10/29,1246 LV,2.5,52,44,Biden +8,10/27
PPP (D),10/27 - 10/29,572 RV,4.1,56,38,Biden +18,10/27
NBC News/Wall St. Jrnl,10/27 - 10/30,720 RV,3.7,50,41,Biden +9,10/27
ABC News/Wash Post,10/27 - 10/30,876 RV,4,56,39,Biden +17,10/27
FOX News,10/27 - 10/30,1040 RV,3,51,39,Biden +12,10/27
Rasmussen Reports,10/28 - 11/1,1500 LV,2.5,48,47,Biden +1,10/28
Quinnipiac,10/28 - 11/1,1516 LV,2.5,50,39,Biden +11,10/28
JTN/RMG Research*,10/29 - 10/31,1200 LV,2.8,51,44,Biden +7,10/29
NBC News/Wall St. Jrnl,10/29 - 10/31,1000 RV,3.4,52,42,Biden +10,10/29
SurveyUSA,10/29 - 10/31,1265 LV,3.2,52,44,Biden +8,10/29
CNBC/Change Research (D),10/29 - 11/1,1880 LV,2.3,52,42,Biden +10,10/29
IBD/TIPP*,10/29 - 11/2,1212 LV,3.2,50,46,Biden +4,10/29
Reuters/Ipsos,10/29 - 11/2,914 LV,3.7,52,45,Biden +7,10/29
The Hill/HarrisX,10/3 - 10/6,2841 RV,1.8,45,40,Biden +5,10/3
FOX News,10/3 - 10/6,1012 LV,3,53,43,Biden +10,10/3
Economist/YouGov,10/31 - 11/2,1363 LV,3.3,53,43,Biden +10,10/31
Economist/YouGov,10/4 - 10/6,1364 LV,4.8,51,42,Biden +9,10/4
Quinnipiac,10/4 - 10/7,1483 RV,3.1,51,40,Biden +11,10/4
FOX News,10/6 - 10/8,1003 RV,3,50,40,Biden +10,10/6
ABC News/Wash Post,10/6 - 10/9,725 LV,4,55,43,Biden +12,10/6
Rasmussen Reports,10/7 - 10/13,2500 LV,2,50,45,Biden +5,10/7
JTN/RMG Research*,10/8 - 10/10,1240 LV,2.8,51,43,Biden +8,10/8
NPR/PBS/Marist,10/8 - 10/13,819 LV,3.9,54,43,Biden +11,10/8
NBC News/Wall St. Jrnl,10/9 - 10/12,1000 RV,3.1,53,42,Biden +11,10/9
Reuters/Ipsos,10/9 - 10/13,882 LV,3.8,51,41,Biden +10,10/9
Emerson,11/17 - 11/20,1092 RV,2.9,49,51,Trump +2,11/17
SurveyUSA,11/20 - 11/21,3850 RV,1.7,52,39,Biden +13,11/20
USA Today/Suffolk,12/10 - 12/14,1000 RV,3,41,44,Trump +3,12/10
PPP (D),12/11 - 12/12,862 RV,3.3,54,40,Biden +14,12/11
CNN,12/12 - 12/15,888 RV,4,49,44,Biden +5,12/12
Emerson,12/15 - 12/17,1222 RV,2.7,52,48,Biden +4,12/15
Quinnipiac,12/4 - 12/9,1553 RV,2.5,51,42,Biden +9,12/4
IBD/TIPP,12/5 - 12/14,849 RV,3.5,50,45,Biden +5,12/5
FOX News,12/8 - 12/11,1000 RV,3,48,41,Biden +7,12/8
